person1,person2,relation_type,strength,direction,evidence,sentiment,source_article,url,date,keyword
신용한,노영민,경쟁,0.8,양방향,"더불어민주당 충북지사 후보 적합도 13% 동률 기록, 공천 경쟁 심화",부정,KBS청주 여론조사,https://news.kbs.co.kr/1,2026-01-19,충북지사
신용한,이재명,정치적동맹,0.7,person1→person2,이재명계 인사로 분류되며 친명계 지지세 결집,긍정,친명계 신용한 행보,https://example.com/2,2026-01-25,신용한
노영민,문재인,정치적동맹,0.9,person2→person1,전 대통령 비서실장으로서 친문계 핵심 지지층 보유,긍정,노영민 출마선언,https://example.com/3,2026-02-03,노영민
신용한,노영민,학연,0.4,양방향,두 후보 모두 연세대학교 동문,중립,연세대 인맥,https://example.com/7,2025-12-01,충북도지사
신용한,노영민,학연,0.5,양방향,두 후보 모두 청주고등학교 동문 (송기섭, 한범덕 포함),긍정,청주고 인맥 파워,https://example.com/4,2026-01-15,충북지사
송기섭,신용한,학연,0.5,양방향,청주고등학교 동문,긍정,청주고 동문,https://example.com/5,2026-01-15,송기섭
노영민,송기섭,학연,0.5,양방향,청주고등학교 동문,긍정,청주고 동문,https://example.com/6,2026-01-15,송기섭
한범덕,노영민,학연,0.6,양방향,청주고 동창 및 오랜 정치적 동반자,긍정,청주고 인맥,https://example.com/15,2025-11-25,충북도지사
송기섭,임호선,지연,0.6,양방향,둘 다 진천 출신으로 진천 표심 분산 또는 결집 변수,중립,진천 연고 경쟁,https://example.com/16,2026-01-20,송기섭
임호선,더불어민주당,협력,0.8,person1→person2,현역 국회의원이자 충북도당위원장으로서 당 조직 장악,긍정,임호선 도당위원장 행보,https://example.com/17,2026-01-10,임호선
이종배,임호선,학연,0.5,양방향,두 후보 모두 충주고등학교 출신 (북부 지역 인맥),긍정,충주고 인맥,https://example.com/18,2025-10-10,이종배
윤희근,경찰청,협력,0.9,person1→person2,전 경찰청장 출신으로 조직적 치안 전문가 이미지 강조,긍정,윤희근 출마선언,https://example.com/10,2026-02-03,윤희근
이종배,국민의힘,협력,0.8,person1→person2,현직 4선 국회의원으로 당내 강력한 입지 보유,긍정,이종배 의원 동향,https://example.com/11,2026-01-30,이종배
신용한,윤석열,비판,0.8,person1→person2,명태균 게이트 폭로 및 정권 심판론 주도,부정,명태균 폭로,https://example.com/12,2025-01-17,신용한
노영민,김영환,경쟁,0.8,양방향,2022년 선거 리턴매치 및 현정부 출정론 비판 대립,부정,도지사 대결,https://example.com/13,2026-02-03,노영민
윤희근,임호선,경쟁,0.6,양방향,경찰대 출신(임 2기, 윤 5기) 간의 경찰 인맥 경쟁,중립,경찰대 대결,https://example.com/14,2026-02-03,충북지사
송기섭,진천군,지연,0.9,person1→person2,3선 군수로서 진천 지역 장악력 압도적,긍정,송기섭 군수 동향,https://example.com/19,2026-01-15,송기섭
이종배,충주시,지연,0.9,person1→person2,충주시장 출신 및 4선 의원으로 충주 기반 확고,긍정,이종배 의원 기반,https://example.com/20,2026-01-15,이종배
